관측소명 : 부산
관측개시일 : 1956년01월01일
관측소주소 : 부산광역시 중구 남포동 1가
위도 : 북위 35도  5분 47초
경도 : 동경 129도  2분  7초
순번	관측시간		수온(℃)	염분(PSU)	
0	2020/07/31 23:00	19.6	31.18	
1	2020/07/31 22:00	19.6	31.24	
2	2020/07/31 21:00	19.57	31.23	
3	2020/07/31 20:00	19.5	31.2	
4	2020/07/31 19:00	19.65	30.6	
5	2020/07/31 18:00	19.75	29.91	
6	2020/07/31 17:00	20.37	29.29	
7	2020/07/31 16:00	19.76	29.87	
8	2020/07/31 15:00	19.6	30.02	
9	2020/07/31 14:00	19.43	30.05	
10	2020/07/31 13:00	19.39	30.05	
11	2020/07/31 12:00	19.7	29.78	
12	2020/07/31 11:00	19.9	29.45	
13	2020/07/31 10:00	19.86	29.42	
14	2020/07/31 09:00	19.8	29.46	
15	2020/07/31 08:00	19.8	29.46	
16	2020/07/31 07:00	19.8	29.31	
17	2020/07/31 06:00	19.73	28.98	
18	2020/07/31 05:00	19.6	29.6	
19	2020/07/31 04:00	19.55	29.77	
20	2020/07/31 03:00	19.6	29.89	
21	2020/07/31 02:00	19.63	30.06	
22	2020/07/31 01:00	19.71	30.2	
23	2020/07/31 00:00	19.61	30.12	
24	2020/07/30 23:00	19.6	30.09	
25	2020/07/30 22:00	19.54	30.13	
26	2020/07/30 21:00	19.5	30.16	
27	2020/07/30 20:00	19.49	30.09	
28	2020/07/30 19:00	19.45	29.68	
29	2020/07/30 18:00	19.62	29.26	
30	2020/07/30 17:00	19.65	29.19	
31	2020/07/30 16:00	20.01	28.83	
32	2020/07/30 15:00	19.31	29.65	
33	2020/07/30 14:00	19.07	30.1	
34	2020/07/30 13:00	19.33	29.8	
35	2020/07/30 12:00	19.76	29.24	
36	2020/07/30 11:00	19.98	29.11	
37	2020/07/30 10:00	20	29.09	
38	2020/07/30 09:00	19.91	29.15	
39	2020/07/30 08:00	19.85	29.13	
40	2020/07/30 07:00	19.8	29.13	
41	2020/07/30 06:00	19.79	29.07	
42	2020/07/30 05:00	19.77	29.08	
43	2020/07/30 04:00	19.73	29.11	
44	2020/07/30 03:00	19.44	29.49	
45	2020/07/30 02:00	19.38	29.51	
46	2020/07/30 01:00	19.59	29.16	
47	2020/07/30 00:00	19.75	29.12	
